url,brand,model,year,price_usd,price_uah,mileage,location,engine,transmission,state_num,description
https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1908603.html,Mazda,CX-5,2022,37503,1421000,без пробігу,Івано-Франківськ,"Бензин, 2.5 л.",Автомат,,Авто в наявності. Комплектація Style 2.5 з аудіосистемою Bose
https://auto.ria.com/uk/auto_mazda_6_33979021.html,Mazda,6,2021,32796,1242000,39 тис. км,Київ,"Бензин, 2.5 л.",Автомат,,"На гарантії до червня 2024 року!

Найпотужніший двигун (Турбо) + максимальна комплектація!

Обслуговувалося у офіціалу

Обслуговується на наступні 20 000 км!!

Комплект зимової гуми за 1000$ дарю

Нові колодки спереду і ззаду, і нові задні диски

Найповніша комплектація:
- бездротовий car play
- Акустика bose
- Передня частина в броньованій плівці
- 7 секунд до 100 км
- сигналізація з gps
- mul-t-lock захист на коробці"
https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1907779.html,Mazda,CX-5,2022,37385,1421000,без пробігу,Житомир,"Бензин, 2.5 л.",Автомат,,"Оновлена Mazda CX-5 пропонує набагато більше, ніж здається з першого погляду.
Вишуканий та елегантний екстер’єр виводить дизайн Kodo на новий рівень, завдяки чому Mazda CX-5 виділяється серед інших автомобілів.
З бензиновим двигуном Skyactiv-G об’ємом 2,5 л. потужністю 194 к. с. в парі з автоматичною 6-тиступеневою трансмісією, Ви отримуєте потужність та елегантність, готовність до пригод і вражаючі можливості буксирування.
Завдячуючи новітнім технологіям проактивного захисту Mazda CX-5 отримала максимальну оцінку – 5 зірок рейтингу безпеки EURO NCAP. Шість подушок безпеки та широкий набір вдосконалених систем активної безпеки i-Activesense допомагають забезпечити найкращий захист для Вас та Ваших близьких.
Куди б Ви не прямували, Mazda CX-5 буде Вашим ідеальним супутником як для повсякденних поїздок, так і під час довгих подорожей всією родиною."
https://auto.ria.com/uk/auto_mazda_6_34328262.html,Mazda,6,2017,13800,525642,114 тис. км,Львів,"Бензин, 2.5 л.",Автомат,,"2 комплекти гуми, 2 ключі. Жодних вкладень не потребує."
https://auto.ria.com/uk/newauto/auto-mazda-cx-9-1890743.html,Mazda,CX-9,2022,44371,1681200,без пробігу,Одеса,"Бензин, 2.5 л.",Автомат,,"В НАЯВНОСТІ цей автомобіль в нашому салоні за адресою м. Одеса, вул. Грушевського 39/3. Доступні оновлені умови кредитування.
Акційні умови кредитування від ОщадБанк. Перший внесок 30% вартості, а решта на 12 місяців безвідсотково. Деталі дізнавайтесь у менеджерів."
https://auto.ria.com/uk/auto_mazda_cx_5_34325158.html,Mazda,CX-5,2015,19500,740805,125 тис. км,Київ,"Дизель, 2.2 л.",Автомат,,"Продаю свежепригнаный автомобиль без пробега по Украине Мазда сх5 2015г РЕСТАЙЛИНГ 2.2 дизель + полный привод в самой максимальной комплектации. В машине нет НИОДНОЙ КРАШЕНОЙ ДЕТАЛИ 1000%, вся в заводском окрасе. Последнее ТО было неделю назад. Ничего ни стучит, не гремит мотор и коробка работают идеально. Вложений не требует абсолютно никаких. Пробег оригинальный 1000%, любые проверки с вашей стороны приветствуются. 
Теперь по комплектации: 
-Двухцветная перфорированная кожа/двухцветный салон
-Безключевой доступ
-Память сидений
-Подогрев сидений
-Парктроники по кругу
-Камера заднего вида
-Функция старт/стоп
-Премиальная акустика Bose
-Мультируль со всеми кнопками
-Дистроник
-Удержание в полосе
-Слепые зоны
-Люк
-Bluetooth/Aux/USB
-Складывающийся задние сиденья


Первый человек, который приедет смотреть автомобиль с вероятностью в 100% ее купит. Царапин, вмятин, сколов нет. Два ключа, два комплекта резины, сервисная книга. Честность и прозрачность гарантирую!!"
https://auto.ria.com/uk/auto_mazda_6_34010232.html,Mazda,6,2016,15900,607221,174 тис. км,Суми,"Бензин, 2.5 л.",Автомат,,"Машина в ідеалі, на повній комплектації с люком. 
Аудіосистема Bose 
Проекція на лобове скло
Утримання у полосі 
Адаптивний круїз контроль 
Адаптивна лед оптика, промінь світла хумається за кермом 
Мною був доставлений CarPlay та AndroidAuto Захисні плівки на заднему багажнику біля ляди, на порогах задній дверей та на місцях під ручками 
Диски R19 стан краще за нові! Нещодавно красив їх у wheelmasters sumy
Нова літня гума 
Куплена була мною 2021р, але в 2022 була переєстація всередині сім’ї  
Обслуговувалась на сервісі АвтоLife, машину там знають, всі заказ снаряди є. 
Одразу після куплі замінив масло в коробці «повністю» не частино 
ТО тільки на оригінальних росхідниках 
Також пару тисяч тому замінили АКБ та фильтр бензонасосу. 
Є фото яка машина була в Америці, та якщо знайду то і карфакс, удар був по переду - дуже незначний. Готовий заїхати на будь яке ваше СТО для перевірки"
https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1907769.html,Mazda,CX-5,2022,35579,1354500,без пробігу,Житомир,"Бензин, 2.0 л.",Автомат,,"Оновлена Mazda CX-5 пропонує набагато більше, ніж здається з першого погляду.
Вишуканий та елегантний екстер’єр виводить дизайн Kodo на новий рівень, завдяки чому Mazda CX-5 виділяється серед інших автомобілів.
Завдячуючи новітнім технологіям проактивного захисту Mazda CX-5 отримала максимальну оцінку – 5 зірок рейтингу безпеки EURO NCAP. Шість подушок безпеки та широкий набір вдосконалених систем активної безпеки i-Activesense допомагають забезпечити найкращий захист для Вас та Ваших близьких.
Куди б Ви не прямували, Mazda CX-5 буде Вашим ідеальним супутником як для повсякденних поїздок, так і під час довгих подорожей всією родиною."
https://auto.ria.com/uk/newauto/auto-mazda-cx-5-1908404.html,Mazda,CX-5,2023,30742,1164800,без пробігу,Вінниця,"Бензин, 2.0 л.",Автомат,,"В дорозі, протягом 3х тижнів!!! Комплектація TOURING 2023 року : LED фари головного світла, датчики паркування, камера заднього виду, підігрів сидінь та керма, Apple Car Play та багато іншого. Можливий продаж у розтермінування під 0.01%, також працює програма TRADE-IN."
https://auto.ria.com/uk/auto_mazda_cx_5_34152026.html,Mazda,CX-5,2018,25000,946250,115 тис. км,Пирятин,"Бензин, 2 л.",Автомат,BX 1487 HE,"Автомобіль придбаний у офіційного дилера в 
 м. Хмельницький у 2018році. Другий власник. Авто без пошкоджень, без підкрасів у ДТП не було. Пробіг 115 500 км. В ідеальному стані, в салоні не курили, тварин не перевозили, гаражне зберігання. використовувався для сімейного відпочинку.  Автомобіль з неймовірною зовнішністю, надзвичайно комфортний із якісним салоном, двигуном  має режим Sport. Ходова, скло все рідне в ідеальному стані. Для збереження  сидінь нові преміум чохли з екошкіри, також нові килимки в салоні та багажному відділенні. Всі основні опції комфортної їзди для водія та пасажирів. 2 ключа.  Економічна витрата палива. В комплектацію авто входить: датчики світла та дощу, підігрів передніх сидінь та керма, електро-ручник, двох-зонний клімат контроль, електро-привід багажного відділення, камера заднього виду, достойна аудио-система, адаптивні LED-фари головного світла ліхтарі денного світла – LED-лампочки, омивач фар, інше. Шумоізоляція супер, реакція на кермо та педаль  миттєва, клімат-контроль працює відмінно.  Гарно справляється зі складними дорожніми умовами, навіть краще, ніж серйозніші позашляховики. Задня оптика відповідає передній «світлодіодній тенденції».Передній та задній ряди сидінь  мають неймовірний простір. Більш ніж достатня відстань від голови до стелі навіть у найвищому положенні крісла. Панель приладів класичне компонуванням. Триступеневий підігрів сидінь, підігрів керма, два USB-входи інше. Електропривод усіх склопідйомників, блокуванян задніх дверей. Не потребує вкладень, масла, фільта, рідини, замінено. Реальному покупцю нова літня резина в подарунок!  Перекупів прошу не турбувати.
Обмін не ЦІКАВИТЬ!!!"
